pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassn,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,pl_k2flag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffn,st_mass,st_masserr1,st_masserr2,st_masslim,st_massn,st_rad,st_raderr1,st_raderr2,st_radlim,st_radn,pl_nnotes,rowupdate,pl_facility
HD 180314,b,HD 180314 b,Radial Velocity,0,1,396.03,0.62,-0.62,0.0,2,1.46,0.06,-0.06,0.0,3,0.26,0.01,-0.01,0.0,2,,,,,0,20.13,1.66,-1.66,0.0,3,Msini,,,,,0,,,,,0,0,0,0,19h14m50.21s,+31d51m37.3s,288.709198,1e-06,31.86035,1e-06,2,122.79,0.45,-0.45,0.0,2,6.608,0.01,0.0,V (Johnson),6.342,0.0,4924.0,25.00,-25.0,0.0,4,2020-02-01 00:00:00,0.27,-0.27,0.0,4,2013-08-01 00:00:00,0.30,-0.3,0.0,4,0,2018-09-06,Subaru Telescope
HD 180902,b,HD 180902 b,Radial Velocity,0,1,510.9,1.5,-1.5,0.0,3,1.4,0.11,-0.11,0.0,3,0.107,0.022,-0.022,0.0,3,,,,,0,1.685,0.041,-0.041,0.0,3,Msini,,,,,0,,,,,0,0,0,0,19h19m17.71s,-23d33m29.4s,289.823792,2e-06,-23.558155,2e-06,2,104.89,0.57,-0.57,0.0,2,7.78,,0.0,V (Johnson),7.521,0.0,4961.0,,,0.0,6,1941-01-01 00:00:00,,,0.0,5,2016-04-01 00:00:00,,,0.0,5,0,2018-12-06,W. M. Keck Observatory
HD 181342,b,HD 181342 b,Radial Velocity,0,1,564.1,4.1,-4.1,0.0,4,1.592,0.091,-0.091,0.0,4,0.022,0.051,-0.051,0.0,4,,,,,0,2.54,0.19,-0.19,0.0,4,Msini,,,,,0,,,,,0,0,0,0,19h21m04.23s,-23d37m10.5s,290.267639,2e-06,-23.619572,1e-06,3,120.81,0.69,-0.69,0.0,4,7.55,,0.0,V (Johnson),7.284,0.0,4945.0,,,0.0,7,1969-01-01 00:00:00,,,0.0,6,1971-04-01 00:00:00,,,0.0,6,0,2018-12-06,W. M. Keck Observatory
HD 181433,b,HD 181433 b,Radial Velocity,0,3,9.3743,0.0019,-0.0019,0.0,3,0.08,0.0,0.0,0.0,3,0.4,0.06,-0.06,0.0,3,,,,,0,0.02,0.0,0.0,0.0,3,Msini,,,,,0,,,,,0,0,0,0,19h25m09.57s,-66d28m07.7s,291.289856,2e-06,-66.468796,2e-06,3,26.90,0.02,-0.02,0.0,5,8.4,,0.0,V (Johnson),8.092,0.0,4918.0,15.00,-15.0,0.0,6,0.63,0.07,-0.07,0.0,5,0.79,0.01,-0.01,0.0,4,0,2018-09-06,La Silla Observatory
HD 181433,c,HD 181433 c,Radial Velocity,0,3,962.0,15.0,-15.0,0.0,2,1.76,,,0.0,2,0.28,0.02,-0.02,0.0,2,,,,,0,0.64,,,0.0,2,Msini,,,,,0,,,,,0,0,0,0,19h25m09.57s,-66d28m07.7s,291.289856,2e-06,-66.468796,2e-06,3,26.90,0.02,-0.02,0.0,5,8.4,,0.0,V (Johnson),8.092,0.0,4918.0,15.00,-15.0,0.0,6,0.63,0.07,-0.07,0.0,5,0.79,0.01,-0.01,0.0,4,0,2014-07-23,La Silla Observatory
HD 181433,d,HD 181433 d,Radial Velocity,0,3,2172.0,158.0,-158.0,0.0,2,3.0,,,0.0,2,0.48,0.05,-0.05,0.0,2,,,,,0,0.54,,,0.0,2,Msini,,,,,0,,,,,0,0,0,0,19h25m09.57s,-66d28m07.7s,291.289856,2e-06,-66.468796,2e-06,3,26.90,0.02,-0.02,0.0,5,8.4,,0.0,V (Johnson),8.092,0.0,4918.0,15.00,-15.0,0.0,6,0.63,0.07,-0.07,0.0,5,0.79,0.01,-0.01,0.0,4,0,2014-07-23,La Silla Observatory
HD 181720,b,HD 181720 b,Radial Velocity,0,1,956.0,14.0,-14.0,0.0,2,1.85,0.04,-0.04,0.0,2,0.26,0.06,-0.06,0.0,2,,,,,0,0.4,0.06,-0.06,0.0,2,Msini,,,,,0,,,,,0,0,0,0,19h22m52.98s,-32d55m08.6s,290.720764,4e-06,-32.919056,2e-06,2,60.31,0.24,-0.24,0.0,4,7.849,0.013,0.0,V (Johnson),7.675,0.0,5736.0,37.00,-37.0,0.0,3,2025-03-01 00:00:00,0.20,-0.2,0.0,2,1950-01-01 00:00:00,0.07,-0.07,0.0,3,0,2018-09-06,La Silla Observatory
HD 183263,b,HD 183263 b,Radial Velocity,0,2,626.51599,1.1,-1.1,0.0,5,1.49,0.02,-0.02,0.0,5,0.36,0.01,-0.01,0.0,5,,,,,0,3.95,0.22,-0.22,0.0,5,Msini,,,,,0,,,,,0,0,0,0,19h28m24.57s,+08d21m29.0s,292.102386,3e-06,8.358054,2e-06,2,54.28,0.11,-0.11,0.0,3,7.861,0.012,0.0,V (Johnson),7.718,0.0,5948.0,27.00,-27.0,0.0,5,1931-01-01 00:00:00,0.07,-0.07,0.0,5,2023-01-01 00:00:00,0.02,-0.02,0.0,4,0,2018-09-06,W. M. Keck Observatory
HD 212301,b,HD 212301 b,Radial Velocity,0,1,2.24571,0.00028,-0.00028,0.0,2,0.03,0.0,0.0,0.0,2,0.0,,,0.0,2,,,,,0,0.51,0.04,-0.04,0.0,2,Msini,,,,,0,,,,,0,0,0,0,22h27m30.92s,-77d43m04.5s,336.878845,2e-06,-77.717926,2e-06,2,54.32,0.09,-0.09,0.0,2,7.764,0.011,0.0,V (Johnson),7.635,0.0,6239.0,24.00,-24.0,0.0,5,1955-01-01 00:00:00,0.16,-0.16,0.0,4,2016-01-01 00:00:00,0.02,-0.02,0.0,3,0,2018-09-06,La Silla Observatory
HD 213240,b,HD 213240 b,Radial Velocity,0,1,882.70001,7.6,-7.6,0.0,2,1.89,0.03,-0.03,0.0,2,0.42,0.01,-0.01,0.0,2,,,,,0,5.58,0.31,-0.31,0.0,2,Msini,,,,,0,,,,,0,0,0,0,22h31m00.37s,-49d25m59.8s,337.751526,2e-06,-49.43327,1e-06,2,40.92,0.06,-0.06,0.0,2,6.814,0.01,0.0,V (Johnson),6.658,0.0,5979.0,19.00,-19.0,0.0,8,1957-01-01 00:00:00,0.12,-0.12,0.0,6,1951-01-01 00:00:00,0.02,-0.02,0.0,3,0,2018-09-06,La Silla Observatory
HD 215497,b,HD 215497 b,Radial Velocity,0,2,3.93404,0.00066,-0.00066,0.0,2,0.05,0.0,0.0,0.0,2,0.16,0.09,-0.09,0.0,2,,,,,0,0.02,0.01,-0.01,0.0,2,Msini,,,,,0,,,,,0,0,0,0,22h46m36.75s,-56d35m58.3s,341.653137,2e-06,-56.599533,2e-06,2,40.59,0.05,-0.05,0.0,2,8.96,,0.0,V (Johnson),8.686,0.0,5110.0,108.00,-108.0,0.0,3,0.67,0.33,-0.33,0.0,2,0.85,0.04,-0.04,0.0,2,0,2018-09-06,La Silla Observatory
HD 215497,c,HD 215497 c,Radial Velocity,0,2,567.94,2.7,-2.7,0.0,1,1.282,,,0.0,1,0.49,0.04,-0.04,0.0,1,,,,,0,0.33,,,0.0,1,Msini,,,,,0,,,,,0,0,0,0,22h46m36.75s,-56d35m58.3s,341.653137,2e-06,-56.599533,2e-06,2,40.59,0.05,-0.05,0.0,2,8.96,,0.0,V (Johnson),8.686,0.0,5110.0,108.00,-108.0,0.0,3,0.67,0.33,-0.33,0.0,2,0.85,0.04,-0.04,0.0,2,0,2014-11-19,La Silla Observatory
HD 216435,b,HD 216435 b,Radial Velocity,0,1,1311.0,49.0,-49.0,0.0,2,2.56,0.17,-0.17,0.0,2,0.07,0.078,-0.078,0.0,2,,,,,0,1.26,0.13,-0.13,0.0,2,Msini,,,,,0,,,,,0,0,0,0,22h53m37.93s,-48d35m53.8s,343.408051,1e-06,-48.598286,1e-06,2,33.01,0.08,-0.08,0.0,4,6.03,,0.0,V (Johnson),5.872,0.0,5999.0,60.00,-60.0,0.0,9,1930-01-01 00:00:00,,,0.0,7,,,,,3,0,2014-07-23,Anglo-Australian Telescope
